name,full_name,team,position,price,total_points,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,xG,xA,xGI,xGC,form,points_per_game,selected_by_percent,status,chance_of_playing,news
Ba,Abdoullah Ba,Sunderland,MID,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,a,,
Browne,Alan Browne,Sunderland,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Middlesbrough on loan for the rest of the season.
Ekwah,Pierre Ekwah Elimby,Sunderland,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,Has joined AS Saint-Etienne permanently.
H.Jones,Harrison Jones,Sunderland,MID,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,a,,
Matete,Jay Matete,Sunderland,MID,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,u,0.0,has joined MK Dons permanently.
Triantis,Nectarios Triantis,Sunderland,MID,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,0.0,has joined Minnesota United permanently.
Isidor,Wilson Isidor,Sunderland,FWD,5.2,50,970,4,0,4,13,0,0,0,1,0,0,7,166,160.4,22.2,345.0,52.6,3.39,0.06,3.45,15.56,0.6,2.6,1.7,a,100.0,
Mayenda,Eliezer Mayenda Dossou,Sunderland,FWD,5.2,23,492,1,0,3,4,0,0,0,0,0,0,2,82,65.2,39.4,110.0,21.1,0.91,0.13,1.04,8.99,1.2,1.9,0.5,a,,
Abdullahi,Ahmed Abdullahi,Sunderland,FWD,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,a,,
Luís Hemir,Luís Hemir Silva Semedo,Sunderland,FWD,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,u,0.0,has joined Moreirense on loan for the rest of the season.
